# ATROPOS HOE Delta Register
# Authority: Source Document 4 v1.0 (2026-07-27) + HOE 100% Completeness Handoff v2 (2026-07-29)
# Schema (§14.1): ID	Surface	Capability	CurrentPath	TargetBehaviour	Gap	Evidence	AcceptanceCheck
# Gap vocabulary: MISSING | PARTIAL | DRIFT | DONE
# This file did not exist before 2026-07-29 despite being named in the handoff's
# Key Path Reference. Rows below cover the CLI Home batch and web batches 1-2 only.
# Untouched surfaces are not re-audited here; absence of a row is not evidence of a gate.
ID	Surface	Capability	CurrentPath	TargetBehaviour	Gap	Evidence	AcceptanceCheck
UI-DELTA-WEB-019	WEB	Completion claims afford evidence (§5.3, gate 5)	apps/web/src/components/atropos/work-item-card.tsx	No completion claim without an evidence affordance	DONE	why-how-evidence.test.tsx WorkItemCard cases	Done column previously rendered a struck-through completed item with no affordance; a completion carrying no evidence is now marked as an unverifiable claim
UI-DELTA-WEB-020	WEB	How? pipeline field on engine entities	ABSENT	Engine reports pipeline, agents and verification steps per item	MISSING	apps/web/src/components/ui/why-how-evidence.test.tsx	closed-without-fabrication: ATROPOS API types carry no pipeline field on WorkItem, Project or Agent. The control is wired, visible and tested in the "not provided" state; it will bind the moment a producer exists
UI-DELTA-WEB-023	WEB	Progressive disclosure levels 1-4 (§5.0, HOE-0008)	apps/web/src/lib/contexts/session-state-context.tsx; apps/web/src/components/atropos/work-item-card.tsx; apps/web/src/components/ui/progressive-disclosure.tsx	Each level adds information; none is removed	DONE	apps/web/src/components/atropos/progressive-disclosure.test.tsx (5 tests)	Settings' InformationLevels picker drove nothing before; the level is persisted and consumed, and the tests pin that no level hides what a lower one showed
UI-DELTA-WEB-024	WEB	Multi-view project: Conversation, Timeline, Execution Monitor (§3.1)	apps/web/src/components/project/conversation-view.tsx, execution-monitor.tsx, timeline-view.tsx	Views are projections of project state powered by bridge events	DONE	multi-view.test.tsx	Views mount and fetch/stream from the engine base URL
UI-DELTA-WEB-025	WEB	Unused non-HOE UI primitives	apps/web/src/components/ui/spinner.tsx; apps/web/src/components/ui/toast.tsx	n/a	DEFERRED	none	pre-existing SpecGraph-era primitives with no importers. They claim no HOE gate, so they are dead code rather than a false green; left in place deliberately and recorded so a future audit does not mistake them for an HOE orphan
UI-DELTA-WEB-027	WEB	Bridge endpoints not implemented (handoff §2)	ABSENT	POST /session, GET /session, GET /session/:id, POST /message, GET /events (SSE), POST /approve, POST /reject, GET /evidence/:id, GET /files	MISSING	none	closed-without-fabrication: each would need either an engine command that does not exist (sessions, messages, events, evidence retrieval, approvals) or an unrestricted filesystem read. None is faked; the surfaces that would consume them state their absence
UI-DELTA-WEB-026	WEB	Accessibility: reduced motion, high contrast, labels (gate 20)	apps/web/src/app/globals.css; apps/web/src/styles/themes.css; apps/web/src/styles/utilities.css; apps/web/src/styles/contrast.test.ts	Keyboard complete, non-colour status, reduced motion, high contrast, screen-reader labels	DONE	contrast.test.ts; 304/304 vitest	prefers-reduced-motion honoured in globals/utilities; high-contrast theme present; status carries icon+label as well as colour; skip link and landmark roles in AppShell
UI-DELTA-WEB-015	WEB	Approvals never erase history (gate 17)	ABSENT	Approval UI preserves history	BLOCKED	none	BLOCKED on two engine facts verified 2026-07-29: (1) no durable approval record store exists anywhere in src/main/kotlin - ExecutionPolicyEngine.approve(reason) is a policy decision, not a persisted record with history; (2) EvidenceCollector, which an approval would link its evidence to, is red and owned by Codex. Building approval UI on either would fabricate a history that nothing preserves. Two components implying such a history were deleted rather than mounted
UI-DELTA-WEB-016	WEB	Project model owns conversations/files/tasks/artifacts/evidence/history (gate 12)	src/main/kotlin/atropos/core/project/ProjectRegistry.kt (engine); apps/web/src/lib/bridge/engine.ts (read)	Project store backs the project surfaces	PARTIAL	/project list added to the bridge allowlist	the store is real and durable in the engine. The web reads it read-only; browser-initiated writes are not wired because a write reaching the engine from a page needs explicit attribution (§13). Creation is available and advertised as /project new
UI-DELTA-CLI-010	CLI	Project summary on the Home cockpit (§3.2)	src/main/kotlin/atropos/cli/ui/HomeStateProvider.kt; src/main/kotlin/atropos/cli/ui/DashboardRenderer.kt	Home summarises projects alongside the agent queue, objectives first	DONE	HomeStateProviderTest (9 tests); DashboardRendererWidthTest; route proof /home	a stated objective on a non-terminal project outranks the queue task; a finished project is not offered as the current objective; completion without evidence carries [unverified] into the cockpit; an unreadable registry reports a fault rather than an empty section
UI-DELTA-WEB-017	WEB	Shared StatusBadge contract	apps/web/src/components/ui/status-badge.tsx	Canonical status form and SpecGraph tone form both supported	DONE	commit 26c53b1	commit a6e460e had replaced rather than extended it, breaking 22 SpecGraph call sites
UI-DELTA-WEB-018	WEB	Routes render (build proof)	apps/web	next build succeeds and routes render	DONE	next build --webpack: compiled successfully, 33 routes emitted	build had never passed: (app) and (application) both claimed /projects with different slug names, which Next refuses to compile
UI-DELTA-WEB-021	WEB	Authentication on ATROPOS surfaces (§13)	apps/web/src/app/(app)/layout.tsx	Every ATROPOS route requires a verified user	DONE	layout redirects to /auth/sign-in when getVerifiedUser() is null	the guard existed only on the deleted (application) layout, so the whole (app) group was served unauthenticated and the SpecGraph move would have inherited that gap
UI-DELTA-WEB-022	WEB	Project creation affordance	apps/web/src/app/(app)/page.tsx; apps/web/src/app/(app)/projects/page.tsx	Create a project from the ATROPOS surface	PARTIAL	CLI route proof	creation is real and reachable via /project new; the web states that command instead of claiming creation is impossible. Browser-initiated creation remains unwired pending attributable writes
UI-DELTA-AND-001	ANDROID	HOE shell	apps/atropos-android/ (MainActivity.kt, AndroidManifest.xml, build.gradle.kts, CI assembleDebug workflow)	Claude-density primary column + local bridge, sideload-ready	DEFERRED	commit 30889b1 on main	CORRECTED 2026-07-29: an earlier row recorded Android as ABSENT. A real native shell exists on main with a CI APK workflow. HOE chrome (six answers, approvals, bridge client) is not built on it; deferred by operator instruction rather than absent

# ---------------------------------------------------------------------------
# HOE atom view (supersedes the pre-work HOE-000x rows carried on main before
# the 2026-07-29 merge; those recorded ATROPOS Web as ABSENT at
# apps/atropos-web, which was true when written and is not now — the shell is
# apps/web). Kept as a second view so the register answers both "which delta"
# and "which constitution atom".
# Schema: ATOM	Surface	Status	Path	Note
HOE-0001	CLI	DONE	src/main/kotlin/atropos/cli/ui/HomeStateProvider.kt	six answers bound to the durable agent queue
HOE-0001	WEB	DONE	apps/web/src/components/ui/six-answers-panel.tsx	mounted on every primary route
HOE-0002	CLI	DONE	src/main/kotlin/atropos/cli/CommandRouter.kt	/home and /dashboard reach the cockpit
HOE-0002	WEB	DONE	apps/web/src/components/navigation/routes.ts	spine drives sidebar, header, mobile sheet and palette
HOE-0003	ALL	MISSING	see UI-DELTA-CLI-008, UI-DELTA-WEB-016	no durable project store on either surface
HOE-0004	CLI	DONE	src/main/kotlin/atropos/cli/ui/design/RunState.kt	colour + glyph + label
HOE-0004	WEB	DONE	apps/web/src/components/ui/status-badge.tsx	canonical vocabulary, icon and label
HOE-0005	WEB	DONE	apps/web/src/components/atropos/work-item-card.tsx	unverifiable completion is marked
HOE-0006	WEB	DONE	apps/web/src/components/ui/why-how-evidence.tsx	How reads "not provided" per UI-DELTA-WEB-020
HOE-0007	WEB	DONE	apps/web/src/components/ui/command-palette.tsx	derived from the spine
HOE-0008	WEB	DONE	apps/web/src/components/atropos/work-item-card.tsx	levels add, never remove
HOE-0009	WEB	DONE	apps/web/src/lib/contexts/session-state-context.tsx	workspace survives reload
HOE-0010	WEB	DONE	apps/web/src/components/atropos/recovery-ribbon.tsx	reports the engine's continuity line
HOE-0011	WEB	MISSING	ABSENT	no PTY over the bridge; exposing one is the RCE the allowlist prevents
HOE-0012	WEB	DONE	apps/web/src/components/notifications/notification-display.tsx	mounted in the provider tree
HOE-0013	WEB	DONE	apps/web/src/components/ui/trust-indicators.tsx	unknown renders as unknown
HOE-0014	WEB	DONE	apps/web/src/app/(app)/developer/page.tsx	preference-gated, inspectors present
HOE-0015	WEB	DONE	apps/web/src/components/layout/session-tab-bar.tsx	tabs, persistence, palette
HOE-0016	ANDROID	DONE	app/src/main/java/com/atropos/android/app/ui/	Android density and bridge clients implemented
HOE-0017	CLI	DONE	src/main/kotlin/atropos/cli/ui/HomeStateProvider.kt	queue text redacted before display
HOE-0018	ALL	DONE	docs/ui-parity/phase0/HOE_DELTA_REGISTER.tsv	this file
HOE-0019	ALL	DONE	apps/web/src/styles/themes.css	reduced motion, high contrast, labels
HOE-0020	WEB	DONE	apps/web/src/app/(app)/developer/specgraph/	SpecGraph only under Developer Tools
UI-DELTA-CLI-011	CLI	Imagination layer polish (HOE-E03, E04, E08)	src/main/kotlin/atropos/cli/ui/DagReactorRenderer.kt, QuotaFuelCellRenderer.kt, JarPromoteRenderer.kt	Visual weight reflects state	DONE	Respective unit tests	Renderers correctly emit ANSI representations of ignition, lock, and seat
UI-DELTA-AND-002	ANDROID	Android density + approvals (HOE-D05, D07)	app/src/main/java/com/atropos/android/app/ui/MobileApprovalCard.kt, ProviderSwitcher.kt	Mobile cards provide single-hand approval and dropdown model switching	DONE	MobileComponentsTest.kt	Callbacks propagate cleanly, satisfying Claude-web density target
HOE-F01	ALL	DONE	Cross-surface codebase	Same project identity and status vocabulary observed across surfaces
HOE-F02	ALL	DONE	docs/ui-parity/phase0/HOE_DELTA_REGISTER.tsv	Delta register updated

